Time,Queue 0,Queue 1,Queue 2,Queue 3,Queue Fin,Demand Queue,Machine 0 Busy,Machine 1 Busy,Machine 2 Busy,Machine 3 Busy,Machine 0 TimeRemaining,Machine 1 TimeRemaining,Machine 2 TimeRemaining,Machine 3 TimeRemaining,Action M0,Action M1,Action M2,Action M3
203,120,4,0,2,20,129,0,0,1,1,0,0,12,1,False,False,False,False
204,116,3,0,2,20,128,1,1,1,0,16,2,11,0,True,True,False,False
205,116,3,0,1,20,128,1,1,1,1,15,1,10,2,False,False,False,True
206,116,3,1,1,20,128,1,0,1,1,14,0,9,1,False,False,False,False
207,116,2,1,1,20,127,1,1,1,0,13,2,8,0,False,True,False,False
208,116,2,1,0,20,127,1,1,1,1,12,1,7,2,False,False,False,True
209,116,2,2,0,20,127,1,0,1,1,11,0,6,1,False,False,False,False
210,116,1,2,0,20,126,1,1,1,0,10,2,5,0,False,True,False,False
211,116,1,2,0,20,126,1,1,1,0,9,1,4,0,False,False,False,False
212,116,1,3,0,20,126,1,0,1,0,8,0,3,0,False,False,False,False
213,116,0,3,0,20,126,1,1,1,0,7,2,2,0,False,True,False,False
214,116,0,3,0,20,126,1,1,1,0,6,1,1,0,False,False,False,False
215,116,0,4,4,20,126,1,0,0,0,5,0,0,0,False,False,False,False
216,116,0,0,3,20,126,1,0,1,1,4,0,16,2,False,False,True,True
217,116,0,0,3,20,126,1,0,1,1,3,0,15,1,False,False,False,False
218,116,0,0,3,20,125,1,0,1,0,2,0,14,0,False,False,False,False
219,116,0,0,2,20,125,1,0,1,1,1,0,13,2,False,False,False,True
220,116,4,0,2,20,125,0,0,1,1,0,0,12,1,False,False,False,False
221,112,3,0,2,20,124,1,1,1,0,16,2,11,0,True,True,False,False
222,112,3,0,1,20,124,1,1,1,1,15,1,10,2,False,False,False,True
223,112,3,1,1,20,124,1,0,1,1,14,0,9,1,False,False,False,False
224,112,2,1,1,20,123,1,1,1,0,13,2,8,0,False,True,False,False
225,112,2,1,0,20,123,1,1,1,1,12,1,7,2,False,False,False,True
226,112,2,2,0,20,123,1,0,1,1,11,0,6,1,False,False,False,False
